from,to,state_id
0001,0299,GT
0300,0499,NW
0500,0698,LP
0699,0999,LP
1000,1399,MP
1400,1699,GT
1700,1799,GT
1800,1999,GT
2000,2199,GT
2200,2499,MP
2500,2899,NW
2900,3199,NL
3200,3299,NL
3300,3599,NL
3600,3799,NL
3800,3999,NL
4000,4099,NL
4100,4299,NL
4300,4499,NL
4500,4730,NL
4731,5199,EC
5200,5299,EC
5300,5499,EC
5500,5999,EC
6000,6099,EC
6100,6499,EC
6500,6699,WC
6700,6899,WC
6900,7099,WC
7100,7299,WC
7300,7399,WC
7400,7599,WC
7600,7699,WC
7700,8099,WC
8100,8299,WC
8300,8799,NC
8800,8999,NC
9300,9399,FS
9400,9699,FS
9700,9899,FS
9900,9999,FS
